"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Academy of Mary Immaculate",NA,"FITZROY","152","43","51","-","92.4","32","8.4",2014,"Academy of Mary Immaculate   FITZROY"
"Adass Israel School",NA,"ELSTERNWICK","93","8","153","79","-","-","-",2014,"Adass Israel School   ELSTERNWICK"
"Advance TAFE",NA,"BAIRNSDALE","24","9","130","125","0","19","0",2014,"Advance TAFE   BAIRNSDALE"
"Advanced Career Training","*","GEELONG","< 4","1","15","15","-","I/D","I/D",2014,"Advanced Career Training   GEELONG"
"Aitken College",NA,"GREENVALE","150","35","146","9","96.9","30","5.2",2014,"Aitken College   GREENVALE"
"Al Siraat College","*","EPPING","5","1","-","-","-","32","0",2014,"Al Siraat College   EPPING"
"Al-Taqwa College",NA,"TRUGANINA","158","30","22","6","90.7","26","2.2",2014,"Al-Taqwa College   TRUGANINA"
"Albert Park College","*","ALBERT PARK","5","5","10","-","-","34","25.0",2014,"Albert Park College   ALBERT PARK"
"Albury Wodonga Comm College","*","WODONGA","8","2","39","52","-","-","-",2014,"Albury Wodonga Comm College   WODONGA"
"Alexandra Secondary College",NA,"ALEXANDRA","72","25","90","11","97","28","2.2",2014,"Alexandra Secondary College   ALEXANDRA"
"Alia College","*","HAWTHORN EAST","17","21","< 4","-","72.7","27","3.7",2014,"Alia College   HAWTHORN EAST"
"Alkira Secondary College",NA,"CRANBOURNE NORTH","131","47","156","49","70","29","3.0",2014,"Alkira Secondary College   CRANBOURNE NORTH"
"Alphington Grammar School",NA,"ALPHINGTON","85","25","-","-","86.8","31","9.3",2014,"Alphington Grammar School   ALPHINGTON"
"Antonine College",NA,"PASCOE VALE SOUTH","85","27","36","19","90.8","29","5.2",2014,"Antonine College   PASCOE VALE SOUTH"
"Apollo Bay P-12 College","*","APOLLO BAY","20","15","24","4","88.9","31","6.5",2014,"Apollo Bay P-12 College   APOLLO BAY"
"Aquinas College",NA,"RINGWOOD","349","54","97","28","89","31","6.7",2014,"Aquinas College   RINGWOOD"
"Ararat Secondary College",NA,"ARARAT","62","30","63","23","55.9","25","0",2014,"Ararat Secondary College   ARARAT"
"Ashwood Secondary College",NA,"ASHWOOD","91","43","39","25","93.2","29","4.6",2014,"Ashwood Secondary College   ASHWOOD"
"Assumption College",NA,"KILMORE","340","73","350","74","87.9","30","4.3",2014,"Assumption College   KILMORE"
"Auburn High School",NA,"HAWTHORN EAST","98","33","8","-","82.4","24","2.0",2014,"Auburn High School   HAWTHORN EAST"
"Australian Internatl Academy",NA,"COBURG","38","14","-","-","94.1","27","0",2014,"Australian Internatl Academy   COBURG"
"Ave Maria College",NA,"ABERFELDIE","226","32","136","7","96.5","32","9.3",2014,"Ave Maria College   ABERFELDIE"
"Avila College",NA,"MOUNT WAVERLEY","256","50","21","14","97.2","32","10.2",2014,"Avila College   MOUNT WAVERLEY"
"Bacchus Marsh College",NA,"BACCHUS MARSH","143","55","140","44","74","26","0.6",2014,"Bacchus Marsh College   BACCHUS MARSH"
