,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01216,ACADEMY OF MARY IMMACULATE,C,FITZROY,91,91,63,65,5,22,2,5,2,0
01621,ALBERT PARK COLLEGE,G,ALBERT PARK,124,84,56,68,13,14,2,2,2,0
14924,ALKIRA SECONDARY COLLEGE,G,CRANBOURNE NORTH,141,125,101,36,8,27,13,14,3,0
01852,ALPHINGTON GRAMMAR SCHOOL,I,YARRA - NORTH,52,44,26,77,4,12,8,0,0,0
11802,ANTONINE COLLEGE,C,PASCOE VALE SOUTH,60,52,29,48,3,24,17,7,0,0
01311,APOLLO BAY P-12 COLLEGE,G,OTWAY,15,14,11,9,45,0,18,27,0,0
01300,AQUINAS COLLEGE,C,RINGWOOD,242,209,125,53,12,14,10,10,1,1
01337,ASHWOOD HIGH SCHOOL,G,ASHWOOD - CHADSTONE,70,59,49,45,8,22,12,2,8,2
01456,ASSUMPTION COLLEGE,C,KILMORE - BROADFORD,186,164,94,46,17,7,17,11,2,0
01008,AUBURN HIGH SCHOOL,G,HAWTHORN EAST,16,15,12,67,8,8,8,0,8,0
01251,AVE MARIA COLLEGE,C,ESSENDON - ABERFELDIE,114,92,52,79,6,12,0,2,2,0
01197,AVILA COLLEGE,C,MOUNT WAVERLEY - NORTH,169,165,111,80,4,9,0,6,1,0
01799,BACCHUS MARSH GRAMMAR,I,BACCHUS MARSH,147,129,79,70,8,11,5,4,3,0
01177,BAIMBRIDGE COLLEGE,G,SOUTHERN GRAMPIANS,36,31,22,23,14,0,27,32,5,0
01634,BAIRNSDALE SECONDARY COLLEGE,G,BAIRNSDALE,104,103,71,17,25,17,6,31,4,0
14495,BALCOMBE GRAMMAR SCHOOL,I,MOUNT MARTHA,58,58,32,63,16,9,9,3,0,0
01010,BALLARAT CLARENDON COLLEGE,I,BALLARAT,151,126,76,70,17,7,3,3,1,0
01480,BALLARAT GRAMMAR,I,WENDOUREE - MINERS REST,147,131,90,53,28,4,6,7,1,1
01060,BALLARAT HIGH SCHOOL,G,BALLARAT,170,168,102,33,12,11,15,22,7,1
01111,BALLARAT SECONDARY COLLEGE,G,BALLARAT - NORTH,48,46,39,41,5,15,10,21,8,0
01235,BALWYN HIGH SCHOOL,G,BALWYN NORTH,348,346,239,83,3,9,2,3,1,0
01128,BAYSWATER SECONDARY COLLEGE,G,BAYSWATER,19,17,11,27,0,36,18,9,9,0
01137,BAYVIEW COLLEGE,I,PORTLAND,34,30,17,47,29,12,0,12,0,0
01607,BEACONHILLS COLLEGE,I,PAKENHAM - NORTH,128,128,78,68,13,5,1,12,1,0
14425,BEACONHILLS COLLEGE,I,BERWICK - NORTH,114,113,64,58,5,14,11,9,3,0
01066,BEAUFORT SECONDARY COLLEGE,G,BEAUFORT,23,21,11,45,0,27,0,18,9,0
01486,BEECHWORTH SECONDARY COLLEGE,G,BEECHWORTH,27,27,15,20,27,7,7,40,0,0
11533,BELGRAVE HEIGHTS CHRISTIAN SCHOOL,I,BELGRAVE - SELBY,52,52,35,40,14,6,9,26,6,0
01039,BELLARINE SECONDARY COLLEGE,G,CLIFTON SPRINGS,122,105,74,34,19,16,12,15,4,0
01322,BELMONT HIGH SCHOOL,G,BELMONT,162,155,95,49,9,13,11,15,2,1
01687,BENALLA P-12 COLLEGE,G,BENALLA REGION,52,49,35,14,20,11,23,26,6,0
01226,BENDIGO SENIOR SECONDARY COLLEGE,G,BENDIGO,647,478,331,32,15,12,10,23,8,1
01560,BENTLEIGH SECONDARY COLLEGE,G,BENTLEIGH EAST,119,118,84,52,7,18,8,8,6,0
01144,BETH RIVKAH LADIES COLLEGE,I,CAULFIELD - NORTH,38,36,22,41,27,9,23,0,0,0
01749,BIALIK COLLEGE,I,HAWTHORN EAST,66,36,19,68,32,0,0,0,0,0
01558,BILLANOOK COLLEGE,I,MOOROOLBARK,97,86,55,69,15,9,4,2,0,2
01125,BIRCHIP P-12 SCHOOL,G,BULOKE,17,17,16,75,0,6,13,0,6,0
01499,BLACKBURN HIGH SCHOOL,G,BLACKBURN,86,73,57,61,7,16,4,4,7,2
01027,BOORT DISTRICT P-12 SCHOOL,G,LODDON,20,20,13,46,23,0,15,15,0,0
01289,BOX HILL HIGH SCHOOL,G,BOX HILL,168,134,102,68,14,9,3,4,3,0
01639,BOX HILL SENIOR SECONDARY COLLEGE,G,BOX HILL NORTH,152,136,76,28,7,11,25,22,8,0
01397,BRAEMAR COLLEGE,I,MACEDON,93,93,61,67,10,15,5,2,2,0
01234,BRAUER SECONDARY COLLEGE,G,WARRNAMBOOL - NORTH,105,87,66,17,20,12,21,24,5,2
01240,BRAYBROOK COLLEGE,G,BRAYBROOK,150,145,101,51,8,18,12,6,3,2
01187,BRENTWOOD SECONDARY COLLEGE,G,GLEN WAVERLEY - EAST,213,146,116,76,5,11,1,3,3,0
01542,BRIGHT P-12 COLLEGE,G,BRIGHT - MOUNT BEAUTY,21,20,12,58,17,8,17,0,0,0
01095,BRIGHTON GRAMMAR SCHOOL,I,BRIGHTON (VIC.),108,103,56,82,4,5,4,5,0,0
01132,BRIGHTON SECONDARY COLLEGE,G,BRIGHTON EAST,167,161,101,58,13,15,5,8,1,0
01443,BROADFORD SECONDARY COLLEGE,G,KILMORE - BROADFORD,52,35,28,25,7,25,11,21,11,0
01505,BRUNSWICK SECONDARY COLLEGE,G,BRUNSWICK,114,114,87,38,15,20,10,11,5,1
01452,BUCKLEY PARK COLLEGE,G,ESSENDON - ABERFELDIE,140,113,71,63,1,11,7,10,7,0
01054,BUNDOORA SECONDARY COLLEGE,G,BUNDOORA - EAST,52,44,30,30,0,30,7,27,7,0
