suburb,avg_study_score,school_count,SA2_NAME16
Burwood,36.5,2,Burwood
South Yarra,36.0,2,South Yarra
Toorak,35.3,3,Toorak
Glen Iris,35.0,2,Glen Iris
Kew,34.7,6,Kew
Ivanhoe,34.5,2,Ivanhoe
Armadale,34.5,2,Armadale
Brighton,34.3,3,Brighton (Vic.)
Wantirna South,33.7,3,Wantirna South
Truganina,33.5,2,Truganina
St Kilda East,33.5,4,St Kilda East
Mount Waverley,33.3,3,Mount Waverley
Canterbury,33.2,5,Canterbury
Mentone,33.0,5,Mentone
Hawthorn,32.7,3,Hawthorn
Brighton East,32.0,2,Brighton East
Box Hill,32.0,3,Box Hill
Berwick,32.0,5,Berwick
Mount Eliza,32.0,3,Mount Eliza
Donvale,31.5,2,Donvale
Keysborough,31.3,7,Keysborough
Ballarat,31.2,4,Ballarat
Newtown,31.0,3,Newtown
Mulgrave,31.0,2,Mulgrave
Braybrook,31.0,2,Braybrook
Glen Waverley,30.8,4,Glen Waverley
Ringwood,30.8,4,Ringwood
Seymour,30.5,2,Seymour
Ormond,30.5,2,Ormond
Langwarrin South,30.5,2,Langwarrin South
Bell Post Hill,30.5,2,Bell Post Hill
Essendon,30.2,5,Essendon
Mont Albert North,30.0,2,Mont Albert North
Mordialloc,30.0,2,Mordialloc
Northcote,30.0,2,Northcote
Melbourne,30.0,6,Melbourne
Richmond,30.0,2,Richmond (Vic.)
Endeavour Hills,30.0,2,Endeavour Hills
Wheelers Hill,30.0,2,Wheelers Hill
Wendouree,30.0,2,Wendouree
Eltham,30.0,3,Eltham
Werribee,29.2,5,Werribee
Mernda,29.0,3,Mernda
Narre Warren South,29.0,2,Narre Warren South
South Morang,29.0,2,South Morang
Drysdale,29.0,2,Drysdale
Armstrong Creek,29.0,2,Armstrong Creek
Bundoora,28.7,3,Bundoora
Bendigo,28.7,3,Bendigo
Sunshine West,28.7,3,Sunshine West
Horsham,28.7,3,Horsham
Altona,28.5,2,Altona
Officer,28.5,4,Officer
Thornbury,28.5,2,Thornbury
Leongatha,28.5,2,Leongatha
Kyneton,28.5,2,Kyneton
Broadmeadows,28.4,5,Broadmeadows
Warrnambool,28.2,4,Warrnambool
Shepparton,28.2,4,Shepparton
Frankston,28.2,4,Frankston
Yarra Junction,28.0,2,Yarra Junction
Fitzroy North,28.0,2,Fitzroy North
Corio,28.0,2,Corio
Bacchus Marsh,28.0,2,Bacchus Marsh
Springvale,28.0,2,Springvale
Mornington,28.0,2,Mornington
Drouin,28.0,2,Drouin
Tarneit,27.8,4,Tarneit
Mooroolbark,27.7,3,Mooroolbark
Wangaratta,27.7,3,Wangaratta
Mount Clear,27.5,2,Mount Clear
Hawthorn East,27.5,2,Hawthorn East
Kerang,27.5,2,Kerang
Camperdown,27.5,2,Camperdown
Doreen,27.5,2,Doreen
Greenvale,27.5,2,Greenvale
Ararat,27.5,2,Ararat
Traralgon,27.5,2,Traralgon
Yarrawonga,27.5,2,Yarrawonga
Lilydale,27.5,4,Lilydale
Noble Park North,27.5,2,Noble Park North
Point Cook,27.5,2,Point Cook
Swan Hill,27.5,2,Swan Hill
Cranbourne,27.4,5,Cranbourne
Epping,27.4,5,Epping
Sunbury,27.2,4,Sunbury
Warragul,27.0,3,Warragul
Pakenham,27.0,3,Pakenham
Bairnsdale,27.0,2,Bairnsdale
Carrum Downs,27.0,2,Carrum Downs
Hamilton,26.8,4,Hamilton
Hoppers Crossing,26.5,2,Hoppers Crossing
Reservoir,26.5,2,Reservoir
Coburg,26.3,3,Coburg
Sale,26.2,4,Sale
Benalla,26.0,2,Benalla
Brunswick,26.0,2,Brunswick
Echuca,26.0,2,Echuca
Mildura,26.0,2,Mildura
Geelong,26.0,2,Geelong
Caroline Springs,26.0,3,Caroline Springs
Sebastopol,26.0,2,Sebastopol
Myrtleford,26.0,2,Myrtleford
Maryborough,26.0,2,Maryborough
Preston,25.7,3,Preston
Melton,25.7,3,Melton
Fawkner,25.5,2,Fawkner
Colac,25.5,2,Colac
Melton South,25.5,2,Melton South
Portland,25.5,2,Portland
Kyabram,25.0,2,Kyabram
Craigieburn,25.0,3,Craigieburn
Cobram,25.0,2,Cobram
Wodonga,25.0,2,Wodonga
Dandenong,24.3,3,Dandenong
Nathalia,23.0,2,Nathalia
Glenroy,21.0,2,Glenroy
