avg_study_score,school_count,total_schools,suburb,SA2_NAME16
37.0,1,1,MT WAVERLEY,MT WAVERLEY
36.5,2,2,BURWOOD,BURWOOD
36.0,1,1,SOUTH YARRA,SOUTH YARRA
36.0,1,1,SEYMOUR,SEYMOUR
36.0,1,1,SOUTH YARRA,SOUTH YARRA
36.0,1,1,CLAYTON,CLAYTON
35.3,3,3,TOORAK,TOORAK
35.0,1,1,ELSTERNWICK,ELSTERNWICK
35.0,2,2,HAWTHORN,HAWTHORN
35.0,2,2,GLEN IRIS,GLEN IRIS
34.8,4,4,ST KILDA EAST,ST KILDA EAST
34.7,3,3,KEW,KEW
34.3,3,3,BRIGHTON,BRIGHTON
34.0,1,1,BRIGHTON EAST,BRIGHTON EAST
34.0,1,1,RINGWOOD EAST,RINGWOOD EAST
34.0,3,3,IVANHOE,IVANHOE
34.0,1,1,ARMADALE,ARMADALE
34.0,1,1,CHIRNSIDE PARK,CHIRNSIDE PARK
34.0,1,1,CANTERBURY,CANTERBURY
34.0,2,2,BALLARAT,BALLARAT
33.5,2,2,TRUGANINA,TRUGANINA
33.5,2,2,MT ELIZA,MT ELIZA
33.2,4,4,MENTONE,MENTONE
33.0,4,4,WANTIRNA SOUTH,WANTIRNA SOUTH
33.0,1,1,ST KILDA,ST KILDA
33.0,1,1,MALLACOOTA,MALLACOOTA
33.0,1,1,MCKINNON,MCKINNON
33.0,1,1,MULGRAVE,MULGRAVE
33.0,1,1,CHARLEMONT,CHARLEMONT
33.0,1,1,ORMOND,ORMOND
32.0,1,1,MOUNT WAVERLEY,MOUNT WAVERLEY
32.0,1,1,CORIO,CORIO
32.0,1,1,FITZROY,FITZROY
32.0,1,1,DONCASTER,DONCASTER
32.0,1,1,BACCHUS MARSH,BACCHUS MARSH
32.0,1,1,WOODEND,WOODEND
32.0,1,1,DROMANA,DROMANA
32.0,1,1,MACEDON,MACEDON
32.0,1,1,HEIDELBERG,HEIDELBERG
32.0,1,1,MONT ALBERT NORTH,MONT ALBERT NORTH
32.0,1,1,VERMONT,VERMONT
32.0,2,2,BOX HILL,BOX HILL
32.0,3,3,BERWICK,BERWICK
32.0,1,1,BOX HILL,BOX HILL
32.0,1,1,CROYDON HILLS,CROYDON HILLS
32.0,1,1,BALWYN NORTH,BALWYN NORTH
32.0,1,1,WENDOUREE,WENDOUREE
32.0,1,1,HUGHESDALE,HUGHESDALE
31.5,2,2,DONVALE,DONVALE
31.2,4,4,KEYSBOROUGH,KEYSBOROUGH
31.0,1,1,ST ALBANS,ST ALBANS
31.0,1,1,BIRCHIP,BIRCHIP
